ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),tag_qx,tag_qy,tag_qz,tag_qw
1762457097.846472,0.014450133,0.021869447,0.005154387,0.000100073,0.000850307,-0.000650787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975965753,-0.006275882,0.026921129,0.000064109,-0.015808983,0.559678271,0.996474244,0.013673506,0.002013496,-0.082753017
1762457097.908256,-0.015245867,0.017257447,-0.012342613,0.000759073,0.000857307,-0.000440787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975564109,-0.003572964,0.027110679,0.000057933,-0.015805735,0.559620447,0.996461140,0.013656343,0.000656207,-0.082935340
1762457097.944415,-0.000275867,0.008651447,-0.007600613,0.000641073,0.000913307,0.000163213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975081779,-0.005083750,0.027057178,0.000062466,-0.015806179,0.559602029,0.996438996,0.013692636,0.001407846,-0.083185679
1762457097.986362,-0.016147867,0.040025447,-0.000566613,-0.000612927,-0.000092693,-0.000365787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.977101534,-0.008763037,0.026714452,0.000063158,-0.015806604,0.559700889,0.996516462,0.013671472,0.003269013,-0.082203077
1762457098.050122,0.006352133,0.031097447,0.008883387,-0.000457927,0.000021307,0.000496213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.977771546,-0.006595743,0.026821899,0.000062711,-0.015811870,0.559816561,0.996548544,0.013635316,0.002189281,-0.081855265
1762457098.087955,0.028991133,0.021831447,0.019387387,-0.000299927,0.000803307,0.000219213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975685397,-0.007214596,0.026826345,0.000064782,-0.015800716,0.559647777,0.996461182,0.013665429,0.002483207,-0.082898747
1762457098.152686,-0.008354867,0.023035447,-0.005485613,-0.000454927,-0.000153693,0.000098213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.972038870,-0.007080040,0.027000383,0.000058244,-0.015802066,0.559555556,0.996307503,0.013750938,0.002383886,-0.084714749
1762457098.191463,0.006883133,0.022392447,-0.001050613,0.000227073,-0.000098693,0.000619213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976322109,-0.005900564,0.026547792,0.000064215,-0.015811193,0.559687414,0.996492283,0.013471653,0.001844344,-0.082572654
1762457098.223816,0.014268133,0.004611447,0.010155387,-0.000021927,0.001127307,-0.000067787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.978032464,-0.002691171,0.027214869,0.000061363,-0.015813366,0.559726231,0.996563203,0.013671435,0.000229422,-0.081699580
1762457098.290941,-0.015782867,0.023221447,-0.010637613,-0.000324927,-0.000434693,0.000230213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975658622,-0.010032633,0.026631329,0.000067551,-0.015806314,0.559697791,0.996453791,0.013684975,0.003895150,-0.082930038
